EmployeeID,JobRole,Department,MonthlyIncome,Age,YearsAtCompany,YearsSinceLastPromotion,OverTime,AttritionRiskScore,PersonaName,PersonaDescription,RecommendedIntervention
35,Research Scientist,Research & Development,2293,24,2,2,Yes,74.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
37,Sales Representative,Sales,2683,50,3,0,Yes,91.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
39,Research Scientist,Research & Development,3419,36,1,0,Yes,79.0,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
43,Laboratory Technician,Research & Development,2293,26,1,0,No,93.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
48,Research Scientist,Research & Development,3022,37,1,0,No,57.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
49,Sales Executive,Sales,5772,46,9,0,Yes,66.3,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
51,Laboratory Technician,Research & Development,5381,48,1,0,Yes,94.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
52,Laboratory Technician,Research & Development,3441,28,2,2,Yes,94.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
53,Sales Executive,Sales,5454,44,4,1,Yes,60.7,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
55,Sales Executive,Sales,4157,26,2,0,Yes,87.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
58,Laboratory Technician,Research & Development,4014,35,2,2,Yes,85.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
62,Laboratory Technician,Research & Development,2406,38,10,9,No,66.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
63,Research Director,Research & Development,18740,50,27,13,Yes,74.3,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
64,Sales Executive,Sales,7637,59,21,7,No,54.4,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
67,Manufacturing Director,Research & Development,6499,36,6,0,No,51.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
69,Research Scientist,Research & Development,2194,35,3,1,No,55.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
70,Research Scientist,Research & Development,3388,36,1,0,Yes,77.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
71,Sales Executive,Sales,5473,59,4,1,No,56.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
80,Human Resources,Human Resources,5021,46,4,0,Yes,56.6,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
81,Laboratory Technician,Research & Development,5126,30,10,3,Yes,72.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
87,Sales Representative,Sales,2322,23,0,0,No,77.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
92,Sales Executive,Sales,5441,51,10,1,Yes,79.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
94,Healthcare Representative,Research & Development,10673,46,10,9,Yes,60.1,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
95,Sales Executive,Sales,5010,32,11,5,No,50.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
101,Human Resources,Human Resources,2073,37,3,0,Yes,71.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
103,Laboratory Technician,Research & Development,2926,20,1,1,Yes,85.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
108,Sales Executive,Sales,5744,25,6,0,Yes,88.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
111,Healthcare Representative,Research & Development,7484,51,13,12,No,61.5,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
112,Laboratory Technician,Research & Development,6074,34,9,0,Yes,91.6,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
123,Research Scientist,Research & Development,4963,56,5,4,Yes,78.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
125,Sales Executive,Sales,6172,31,7,7,Yes,88.2,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
128,Sales Representative,Sales,1675,19,0,0,Yes,96.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
129,Laboratory Technician,Research & Development,2523,22,2,2,No,50.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
133,Sales Executive,Sales,4559,31,2,2,Yes,91.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
139,Sales Executive,Sales,8639,25,2,2,No,57.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
140,Human Resources,Human Resources,6347,30,11,4,Yes,53.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
141,Laboratory Technician,Research & Development,4200,32,5,0,No,75.2,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
143,Research Scientist,Research & Development,4317,38,3,2,Yes,67.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
150,Laboratory Technician,Research & Development,1483,19,1,0,No,56.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
153,Sales Representative,Sales,2306,53,7,4,Yes,76.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
158,Research Scientist,Research & Development,3346,58,1,0,Yes,68.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
160,Sales Representative,Sales,2231,34,4,1,No,56.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
171,Research Scientist,Research & Development,3058,27,5,1,Yes,82.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
172,Sales Representative,Sales,2325,19,0,0,No,95.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
173,Laboratory Technician,Research & Development,2088,36,8,7,No,76.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
178,Laboratory Technician,Research & Development,1102,19,1,1,No,71.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
181,Research Scientist,Research & Development,3929,31,4,0,Yes,63.1,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
183,Sales Representative,Sales,3140,41,4,0,Yes,90.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
193,Manufacturing Director,Research & Development,5916,35,1,0,Yes,89.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
196,Research Scientist,Research & Development,3564,37,8,1,Yes,65.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
197,Laboratory Technician,Research & Development,4425,35,6,1,No,76.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
201,Manufacturing Director,Research & Development,4298,27,2,2,No,85.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
204,Laboratory Technician,Research & Development,2741,40,7,3,Yes,74.0,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
205,Healthcare Representative,Research & Development,6673,38,1,0,Yes,82.9,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
208,Laboratory Technician,Research & Development,2153,36,8,1,No,69.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
215,Research Scientist,Research & Development,2657,30,5,0,Yes,78.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
217,Sales Executive,Sales,6696,30,6,0,No,92.4,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
230,Research Scientist,Research & Development,2389,29,4,0,Yes,79.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
235,Laboratory Technician,Research & Development,2436,33,5,0,Yes,78.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
238,Manager,Sales,19068,52,33,15,Yes,73.7,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
240,Laboratory Technician,Research & Development,3730,32,3,1,Yes,83.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
252,Healthcare Representative,Research & Development,10938,39,19,11,No,53.5,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
254,Research Scientist,Research & Development,6545,42,3,0,Yes,62.1,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
260,Laboratory Technician,Research & Development,3479,31,5,1,No,86.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
261,Laboratory Technician,Research & Development,2794,32,5,0,No,58.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
263,Laboratory Technician,Research & Development,2176,32,6,0,No,78.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
264,Manager,Sales,16872,46,7,7,Yes,60.9,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
265,Laboratory Technician,Research & Development,3485,28,0,0,No,71.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
278,Sales Executive,Sales,5605,38,8,7,Yes,72.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
284,Laboratory Technician,Research & Development,5415,55,10,0,Yes,58.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
285,Healthcare Representative,Research & Development,4741,26,5,3,Yes,89.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
287,Laboratory Technician,Research & Development,3161,44,1,0,Yes,74.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
289,Laboratory Technician,Research & Development,2373,26,3,0,Yes,80.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
291,Research Director,Research & Development,18665,49,3,1,Yes,51.5,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
292,Research Scientist,Research & Development,4485,36,8,7,No,83.3,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
294,Sales Executive,Sales,5828,26,8,7,Yes,88.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
295,Research Scientist,Research & Development,2326,37,4,1,Yes,64.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
296,Sales Executive,Sales,13525,42,20,4,No,67.3,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
297,Laboratory Technician,Research & Development,1420,18,0,0,No,63.1,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
302,Sales Representative,Sales,1200,18,0,0,No,79.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
304,Sales Executive,Sales,6929,31,8,7,No,51.7,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
311,Human Resources,Human Resources,6410,31,2,1,No,87.8,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
312,Laboratory Technician,Research & Development,5210,45,24,9,No,73.3,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
315,Manager,Research & Development,17068,39,21,11,Yes,60.6,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
317,Healthcare Representative,Research & Development,13964,49,7,0,Yes,55.4,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
319,Research Scientist,Research & Development,2478,27,4,1,Yes,75.7,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
320,Sales Executive,Sales,5228,32,13,11,Yes,87.1,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
321,Sales Executive,Sales,4478,27,5,0,Yes,54.3,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
324,Research Scientist,Research & Development,3464,28,3,2,Yes,84.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
327,Manager,Research & Development,19272,39,21,13,No,67.7,Stagnant Mid-Career,"Oldest group (avg 45), long tenure but feeling career-stuck. Low flight risk count (37) but high individual cost if they leave.",Structured promotion reviews every 18 months. Lateral growth opportunities. Mentorship programs.
329,Sales Executive,Sales,4682,33,7,0,No,60.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
336,Sales Executive,Sales,7457,40,4,0,Yes,60.6,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
337,Laboratory Technician,Research & Development,2119,29,7,0,Yes,84.9,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
338,Laboratory Technician,Research & Development,3983,29,3,2,No,58.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
347,Manufacturing Director,Research & Development,6032,41,5,1,Yes,72.8,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
348,Sales Representative,Sales,2976,47,0,0,No,83.5,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
351,Human Resources,Human Resources,2696,42,3,1,Yes,58.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
355,Sales Executive,Sales,4736,30,2,2,Yes,79.0,Overworked High Performer,Experienced mid-age employees with above-average pay but heavy overtime. At risk despite good compensation — driven by burnout not money.,Cap overtime. Introduce retention bonuses. Offer flexible working arrangements.
358,Sales Representative,Sales,2174,21,3,1,Yes,99.5,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
363,Sales Representative,Sales,2610,21,3,2,No,53.0,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
364,Sales Representative,Sales,2851,33,1,0,Yes,91.8,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
367,Sales Executive,Sales,9355,41,8,7,No,62.9,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
369,Sales Executive,Sales,6380,40,6,1,Yes,80.4,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
370,Research Scientist,Research & Development,2657,31,2,2,Yes,66.0,Burned-Out Entry Level,Young employees with 100% overtime rate and highest average risk score (77.4). Extreme burnout risk — most urgent group to address.,Immediate overtime caps. Wellbeing programs. Mental health support. Salary review.
371,Sales Representative,Sales,2716,21,1,0,No,74.6,Underpaid Early Starter,Young Lab Technicians and Scientists with below-market pay and zero overtime. Leaving for better-paying roles elsewhere.,Benchmark and raise base salaries. Introduce performance-linked pay increases. Career development paths.
